epoch,mean_loss,min_loss,max_loss,mean_val_loss,min_val_loss,max_val_loss,mean_recon,min_recon,max_recon,mean_val_recon,min_val_recon,max_val_recon,mean_kl,min_kl,max_kl,mean_val_kl,min_val_kl,max_val_kl
122,nan,nan,nan,nan,nan,nan,1189.228925,392.7691,2651.6331,1874.3481,1114.3231,3047.1458,nan,nan,nan,nan,nan,nan
123,nan,nan,nan,nan,nan,nan,1196.0045750000002,437.3353,2657.592,1941.799075,1181.5557,3098.6943,nan,nan,nan,nan,nan,nan
124,nan,nan,nan,nan,nan,nan,1166.6249,370.5311,2663.5635,1880.565775,1038.0756,3004.334,nan,nan,nan,nan,nan,nan
125,nan,nan,nan,nan,nan,nan,1146.890225,390.1258,2665.6799,1965.305425,1107.8158,2931.4399,nan,nan,nan,nan,nan,nan
126,nan,nan,nan,nan,nan,nan,1167.6707,421.3365,2657.8149,1885.5898000000002,1162.6683,2916.0903,nan,nan,nan,nan,nan,nan
127,nan,nan,nan,nan,nan,nan,1154.41925,408.1131,2656.783,1864.3385749999998,1229.9841,2946.4084,nan,nan,nan,nan,nan,nan
128,nan,nan,nan,nan,nan,nan,1172.86385,393.1158,2671.1118,1894.2489,1115.4019,2949.6404,nan,nan,nan,nan,nan,nan
129,nan,nan,nan,nan,nan,nan,1194.3633499999999,397.9907,2645.6475,1940.1037250000002,1069.4647,2848.3918,nan,nan,nan,nan,nan,nan
130,nan,nan,nan,nan,nan,nan,1177.01525,413.4398,2651.7168,1970.8087999999998,1033.2306,3215.3525,nan,nan,nan,nan,nan,nan
131,nan,nan,nan,nan,nan,nan,1167.1626,396.1883,2661.6604,2001.4451750000003,1189.1488,3006.8074,nan,nan,nan,nan,nan,nan
132,nan,nan,nan,nan,nan,nan,1145.748125,412.659,2645.2996,1762.1769749999999,1009.1747,2815.2708,nan,nan,nan,nan,nan,nan
133,nan,nan,nan,nan,nan,nan,1130.2691,358.3109,2655.8853,2048.7520250000002,1116.9811,3010.8823,nan,nan,nan,nan,nan,nan
134,nan,nan,nan,nan,nan,nan,1168.76505,401.0045,2665.0286,1932.9344999999998,1083.9557,3135.7317,nan,nan,nan,nan,nan,nan
135,nan,nan,nan,nan,nan,nan,1138.487825,361.3039,2650.4094,1978.28355,998.4167,2895.5024,nan,nan,nan,nan,nan,nan
136,nan,nan,nan,nan,nan,nan,1127.0416500000001,363.8458,2683.1475,1922.030125,1158.7489,2793.5415,nan,nan,nan,nan,nan,nan
137,nan,nan,nan,nan,nan,nan,1149.711225,412.8878,2667.4688,1928.34555,1231.204,2816.02,nan,nan,nan,nan,nan,nan
138,nan,nan,nan,nan,nan,nan,1155.58325,376.1231,2662.4973,1956.124875,1197.5668,2865.0464,nan,nan,nan,nan,nan,nan
139,nan,nan,nan,nan,nan,nan,1110.651875,363.6073,2643.9451,1845.4616500000002,1225.9634,2820.897,nan,nan,nan,nan,nan,nan
140,nan,nan,nan,nan,nan,nan,1116.56695,363.3378,2664.3398,1921.359775,1266.3246,2857.9214,nan,nan,nan,nan,nan,nan
141,nan,nan,nan,nan,nan,nan,1107.6554250000002,374.6456,2654.2292,2045.32615,1197.9323,2898.2612,nan,nan,nan,nan,nan,nan
142,nan,nan,nan,nan,nan,nan,1122.8527000000001,389.0861,2656.635,1885.9915999999998,1085.8124,2925.9011,nan,nan,nan,nan,nan,nan
143,nan,nan,nan,nan,nan,nan,1121.934425,393.195,2671.6562,1932.063775,1175.1014,2954.0522,nan,nan,nan,nan,nan,nan
144,nan,nan,nan,nan,nan,nan,1105.5954,377.9865,2659.0439,1940.7009749999997,1226.5228,2847.8909,nan,nan,nan,nan,nan,nan
145,nan,nan,nan,nan,nan,nan,1085.50425,338.7758,2638.9658,1867.8891749999998,1180.681,2855.509,nan,nan,nan,nan,nan,nan
146,nan,nan,nan,nan,nan,nan,1124.7497749999998,394.2938,2658.2825,1904.871775,1238.5326,2817.0632,nan,nan,nan,nan,nan,nan
147,nan,nan,nan,nan,nan,nan,1119.0281249999998,345.2899,2640.5576,1941.9476,1164.7256,2852.1462,nan,nan,nan,nan,nan,nan
148,nan,nan,nan,nan,nan,nan,1140.460575,353.4055,2653.2588,1970.0863499999998,1232.5732,2818.5312,nan,nan,nan,nan,nan,nan
149,nan,nan,nan,nan,nan,nan,1101.336675,347.5679,2647.063,1981.9116,1273.5973,2816.0845,nan,nan,nan,nan,nan,nan
150,nan,nan,nan,nan,nan,nan,1104.022475,346.217,2651.9561,1952.36815,1207.007,2869.5259,nan,nan,nan,nan,nan,nan
151,nan,nan,nan,nan,nan,nan,1086.9403,335.9784,2648.1963,1859.816025,1182.6675,2865.7649,nan,nan,nan,nan,nan,nan
152,nan,nan,nan,nan,nan,nan,1084.70875,337.4195,2643.072,1820.732775,1158.7709,2832.0847,nan,nan,nan,nan,nan,nan
153,nan,nan,nan,nan,nan,nan,1110.6295249999998,365.0577,2638.8621,1878.914575,1110.9557,2828.6379,nan,nan,nan,nan,nan,nan
154,nan,nan,nan,nan,nan,nan,1104.20045,340.3467,2657.2434,1804.3143,1149.8385,2906.4927,nan,nan,nan,nan,nan,nan
155,nan,nan,nan,nan,nan,nan,1088.142875,339.4328,2632.5986,1834.157225,1152.3531,2914.2036,nan,nan,nan,nan,nan,nan
156,nan,nan,nan,nan,nan,nan,1119.061375,341.7624,2690.8137,1878.5975,1045.9554,3163.063,nan,nan,nan,nan,nan,nan
157,nan,nan,nan,nan,nan,nan,1120.2262500000002,365.2249,2653.9067,2002.540875,1116.3075,3354.2969,nan,nan,nan,nan,nan,nan
158,nan,nan,nan,nan,nan,nan,1119.264425,347.0396,2647.8748,2137.2898,1141.3042,3590.354,nan,nan,nan,nan,nan,nan
159,nan,nan,nan,nan,nan,nan,1113.40925,419.1016,2663.636,1924.1056,1264.2152,3260.8064,nan,nan,nan,nan,nan,nan
160,nan,nan,nan,nan,nan,nan,1091.3891,364.7161,2640.8665,2006.730475,1093.5737,3676.5735,nan,nan,nan,nan,nan,nan
161,nan,nan,nan,nan,nan,nan,1082.7249,351.1229,2641.4089,1996.0012499999998,1159.9735,3535.5991,nan,nan,nan,nan,nan,nan
162,nan,nan,nan,nan,nan,nan,1072.150975,332.0736,2648.4033,2111.2091,1165.954,3799.9126,nan,nan,nan,nan,nan,nan
163,nan,nan,nan,nan,nan,nan,1094.7611749999999,342.0735,2659.8386,1980.430175,1192.8713,3748.0464,nan,nan,nan,nan,nan,nan
164,nan,nan,nan,nan,nan,nan,1096.802125,373.3423,2649.5269,2013.05985,1117.9264,4057.1836,nan,nan,nan,nan,nan,nan
165,nan,nan,nan,nan,nan,nan,1097.3884,380.1459,2668.9402,1996.381625,1190.6855,3702.114,nan,nan,nan,nan,nan,nan
166,nan,nan,nan,nan,nan,nan,1072.331925,353.874,2673.616,2178.146975,1098.3824,4422.4971,nan,nan,nan,nan,nan,nan
167,nan,nan,nan,nan,nan,nan,1077.892825,311.6032,2673.7971,2621.26945,1070.6606,6447.8115,nan,nan,nan,nan,nan,nan
168,nan,nan,nan,nan,nan,nan,1069.4946249999998,366.1157,2646.2083,3546.19125,1084.447,9849.1689,nan,nan,nan,nan,nan,nan
169,nan,nan,nan,nan,nan,nan,1111.2802000000001,354.1745,2664.0625,3389.6978,1129.2804,8895.7559,nan,nan,nan,nan,nan,nan
170,nan,nan,nan,nan,nan,nan,1062.5216,376.0946,2661.0759,2590.133275,1183.2351,5983.0967,nan,nan,nan,nan,nan,nan
171,nan,nan,nan,nan,nan,nan,1069.7997,370.6966,2663.2334,3247.4702249999996,1212.22,8217.4121,nan,nan,nan,nan,nan,nan
172,nan,nan,nan,nan,nan,nan,1047.515975,340.3723,2656.8984,2845.2030250000003,1167.8529,6664.9243,nan,nan,nan,nan,nan,nan
173,nan,nan,nan,nan,nan,nan,1089.7372500000001,342.1959,2655.0771,2849.8769,1094.2018,6897.4639,nan,nan,nan,nan,nan,nan
174,nan,nan,nan,nan,nan,nan,1080.3935999999999,327.2443,2641.6838,2732.2559,1169.6232,6652.1069,nan,nan,nan,nan,nan,nan
