epoch,kl,loss,recon,val_kl,val_loss,val_recon,learning_rate
194,393.3818,706.1124,686.4433,311.6679,1660.8981,1645.3147,0.0010
195,389.9974,753.4582,733.9583,323.9707,1565.3563,1549.1577,0.0010
196,402.0147,680.6837,660.5830,329.6040,1748.4252,1731.9449,0.0010
197,413.2281,663.1708,642.5093,319.0486,1738.6823,1722.7297,0.0010
198,419.1808,667.7876,646.8286,331.0221,1677.4860,1660.9348,0.0010
199,405.5542,638.0322,617.7545,325.6046,2296.4839,2280.2039,0.0010
200,410.1293,624.1786,603.6721,333.5952,1625.0875,1608.4077,0.0010
201,424.6795,629.2278,607.9939,324.8178,1696.6780,1680.4373,0.0010
202,405.4248,631.9849,611.7137,322.7755,1539.2605,1523.1216,0.0010
203,417.3181,618.8115,597.9456,325.1766,1595.1780,1578.9191,0.0010
204,407.6537,657.0911,636.7084,337.6061,1569.4303,1552.5500,0.0010
205,398.0858,616.4635,596.5593,341.4876,1562.7391,1545.6647,0.0010
206,414.4562,602.1353,581.4125,341.4764,1483.0898,1466.0161,0.0010
207,427.1735,656.9401,635.5814,344.2968,1594.7999,1577.5851,0.0010
208,402.9610,671.0164,650.8683,331.6824,1750.6245,1734.0405,0.0010
209,398.1028,614.2160,594.3109,328.7625,1386.1622,1369.7241,0.0010
210,411.6185,653.7840,633.2031,324.8668,1629.1442,1612.9009,0.0010
211,392.3636,658.0919,638.4736,322.6591,1723.6660,1707.5331,0.0010
212,409.3871,653.4429,632.9736,339.2938,1351.4161,1334.4515,0.0010
213,443.2150,665.5826,643.4219,351.3118,1460.1564,1442.5908,0.0010
214,410.9944,659.5668,639.0172,329.9030,2053.1951,2036.7000,0.0010
215,423.3282,713.8890,692.7225,330.9596,1844.5696,1828.0216,0.0010
216,411.1686,630.3662,609.8079,324.9863,1742.5027,1726.2534,0.0010
217,398.3645,629.1254,609.2072,319.3144,1700.6727,1684.7070,0.0010
218,385.0056,649.4130,630.1628,313.6847,1767.9956,1752.3113,0.0010
219,410.3577,658.2206,637.7027,308.4671,1720.5684,1705.1450,0.0010
220,400.3636,647.2698,627.2517,321.0559,1876.6096,1860.5569,0.0010
221,436.0947,549.5772,527.7724,342.5955,1418.4164,1401.2866,0.0010
222,438.0657,599.4600,577.5567,339.2289,1500.9503,1483.9889,0.0010
223,414.0004,676.0873,655.3873,335.5779,1986.2854,1969.5063,0.0010
224,400.1790,616.7316,596.7227,338.6816,1718.5414,1701.6073,0.0010
225,448.1226,603.2134,580.8072,327.6467,1679.2172,1662.8350,0.0010
226,427.1978,595.8103,574.4503,320.0116,1704.2021,1688.2017,0.0010
227,403.5051,692.9971,672.8220,335.2261,1804.3492,1787.5880,0.0010
228,405.4956,592.5417,572.2669,347.8483,1542.3160,1524.9237,0.0010
229,428.8549,614.4628,593.0201,354.1422,1662.8282,1645.1211,0.0010
230,428.9596,609.2457,587.7978,342.6486,2173.0051,2155.8728,0.0010
